,stack_index,tiff_index,file_name,tillage,fertilizer,tillage-fertilizer,block,sub-rep,window_size,skip,denoise,skew_mean,skew_median,skew_std,skew_p5,skew_p95,kurt_mean,kurt_median,kurt_std,kurt_p5,kurt_p95,vari_mean,vari_median,vari_std,vari_p5,vari_p95,edge_mean,edge_median,edge_std,edge_p5,edge_p95,img_mean,img_median,img_std,img_p5,img_p95,img_mean_norm (g/cm3),img_median_norm (g/cm3),img_std_norm (g/cm3),img_p5_norm (g/cm3),img_p95_norm (g/cm3),depth
41,10,1000,20210527Sbx_VBCSoilCores10_39um 3_1000.tif,NT,HM,NT-HM,2,1,150,10,True,-1.4240117069724143,-1.48202945085681,0.7581455084753609,-2.6573490993649482,-0.07759217604474618,3.9838678746456697,3.223021869537736,3.589329383618778,-0.21410573630560326,10.469777792874293,544361.3218820627,474221.49612758314,349292.47050264635,119937.48030592909,1223065.8714067899,6.399351983688231,3.0,9.066729946845658,0.0,25.0,6450.708931574303,6639.858562765658,769.7391345385257,4656.952022552731,7239.36802834883,1.8759236290068841,1.9600662779384217,0.3424161567664807,1.0779762213715423,2.226756274508737,3.9
42,10,1050,20210527Sbx_VBCSoilCores10_39um 3_1050.tif,NT,HM,NT-HM,2,1,50,10,True,-0.8782373384973592,-1.0070516496130533,1.4308406669992755,-2.9040661342346863,1.6244061854059764,4.1354019303065135,2.0844466874658014,8.434529907573781,-1.047408580285204,14.640843191343107,286434.10541706893,135801.7270474125,387076.9544731152,17285.227194848656,1040210.5916865373,9.074181804683128,4.0,12.95728495070562,0.0,36.0,6577.536632225084,6738.5409791323455,672.2701207796102,5095.318610283033,7155.521019015271,1.9897135887086028,2.0632434218783424,0.30702220639048133,1.3127924622413893,2.2536759993625,4.095
43,10,1050,20210527Sbx_VBCSoilCores10_39um 3_1050.tif,NT,HM,NT-HM,2,1,150,10,True,-1.4356439372559233,-1.3806533717643754,1.0329073975674878,-3.101319579934062,0.25627156411441765,5.721903700286431,4.786120929464506,4.50621940542226,0.015110512108177978,14.668613650785003,384413.17890110397,342105.05249016656,263137.5539525754,63624.306868177155,895957.4504679649,9.074181804683128,4.0,12.95728495070562,0.0,36.0,6577.536632225084,6738.5409791323455,672.2701207796102,5095.318610283033,7155.521019015271,1.9897135887086028,2.0632434218783424,0.30702220639048133,1.3127924622413893,2.2536759993625,4.095
44,10,1100,20210527Sbx_VBCSoilCores10_39um 3_1100.tif,NT,HM,NT-HM,2,1,50,10,True,-0.8888436332205704,-0.9903199000522217,1.1790187087209762,-2.57374100546069,1.3727950517212413,3.0700565729721263,1.9116447794048481,4.379548184784154,-1.2121520942838577,10.779533099550404,276936.4193865272,97326.81608260043,468403.0944001442,13185.478754402524,1110507.5435722757,9.062398334913134,4.0,13.209600919486881,0.0,36.0,6605.86660522846,6752.484077334902,752.6202682187843,4930.423984043903,7288.786537203277,1.962163593248966,2.028097914228202,0.33845561260386203,1.2087119753730629,2.2692747536791202,4.29
45,10,1100,20210527Sbx_VBCSoilCores10_39um 3_1100.tif,NT,HM,NT-HM,2,1,150,10,True,-1.0741057289182068,-1.3816562732849242,1.3967192623941305,-2.810923528147528,1.9270331830431586,6.214126592462666,5.400615144425377,4.90813694221151,-0.42980619007775067,15.9296753416098,343530.874749371,208380.33942569885,355401.0685724704,44255.4055363238,1111137.3671727253,9.062398334913134,4.0,13.209600919486881,0.0,36.0,6605.86660522846,6752.484077334902,752.6202682187843,4930.423984043903,7288.786537203277,1.962163593248966,2.028097914228202,0.33845561260386203,1.2087119753730629,2.2692747536791202,4.29
46,10,1150,20210527Sbx_VBCSoilCores10_39um 3_1150.tif,NT,HM,NT-HM,2,1,50,10,True,-1.115747733491521,-1.150803056778311,1.3256217082823119,-3.1259801020850455,1.0729973055992816,4.176945474283903,2.3535623238885,6.110581051012197,-1.1539177327843286,15.855012373130911,251906.9190029373,86050.56532789386,378103.5225721611,14811.344272051476,1169773.165588016,10.30569970169042,5.0,15.616550614495646,1.0,41.0,6607.135429825322,6746.403067143026,735.9396556452831,5005.295639842848,7262.29863783614,1.9870499362508465,2.0505425032273834,0.335517272904919,1.2567659872302328,2.2857409650236984,4.484999999999999
47,10,1150,20210527Sbx_VBCSoilCores10_39um 3_1150.tif,NT,HM,NT-HM,2,1,150,10,True,-1.821150810240969,-1.9313850013308107,1.2195046211218405,-3.6497029989347056,-0.03280055796779748,8.465014156564006,7.660499728631334,8.03665113754695,-1.1015344563866198,20.949259944503353,392489.36972760194,170983.18546341074,478757.1035933271,70211.65708677568,1547699.8392383568,10.30569970169042,5.0,15.616550614495646,1.0,41.0,6607.135429825322,6746.403067143026,735.9396556452831,5005.295639842848,7262.29863783614,1.9870499362508465,2.0505425032273834,0.335517272904919,1.2567659872302328,2.2857409650236984,4.484999999999999
48,10,1200,20210527Sbx_VBCSoilCores10_39um 3_1200.tif,NT,HM,NT-HM,2,1,50,10,True,-0.9018346291170188,-0.9543105908923943,1.5285637116102595,-3.021705444510723,1.3682926246123628,4.479172886521273,2.0528963144782675,11.836202211910134,-1.2292951902067244,14.353045690889342,236519.40143256282,76356.28724235052,378305.33591506263,11583.453843576173,1168047.3940904501,4.867524936763232,2.0,7.973109602539893,0.0,20.0,6566.279259748195,6720.432635508655,751.181858525675,4906.700997645464,7195.829389274662,1.9642009534773004,2.0342486240680464,0.3413388718876663,1.2100845363060275,2.2502700705231478,4.68
49,10,1200,20210527Sbx_VBCSoilCores10_39um 3_1200.tif,NT,HM,NT-HM,2,1,150,10,True,-1.5930043510692768,-1.8112678500643642,1.3174050896799632,-3.1810478902677954,0.20871487181997742,9.578666972042976,5.602067757364608,17.775273525346766,-0.7621180067273412,24.526852563080386,344558.0160691617,181136.3859274144,402754.4119919865,58382.59287376434,1442208.056984298,4.867524936763232,2.0,7.973109602539893,0.0,20.0,6566.279259748195,6720.432635508655,751.181858525675,4906.700997645464,7195.829389274662,1.9642009534773004,2.0342486240680464,0.3413388718876663,1.2100845363060275,2.2502700705231478,4.68
50,10,1250,20210527Sbx_VBCSoilCores10_39um 3_1250.tif,NT,HM,NT-HM,2,1,50,10,True,-0.9349409808075655,-1.019503132475052,1.5071521956025724,-2.9533791219772394,1.5274722972196748,4.703530860558297,2.1356522140811003,9.599206877288308,-1.2659257392471095,17.08644476713676,237795.38939177035,78191.81693230732,325371.6598398451,10742.734912110038,999868.0720449723,4.878689528718763,2.0,8.26733404072686,0.0,22.0,6593.671057484335,6771.551150449828,676.3867621216071,4941.769973581551,7208.401785434687,1.9252436860678461,2.0043565421934915,0.3008256163178323,1.190554319731894,2.198647543832772,4.875
